title,authors,journal,DOI,abstract,year,volume,issue,pages
"Physiological, developmental, and behavioral plasticity in response to thermal acclimation","Fan, Xiao L. and Lin, Zhi H. and Scheffers, Brett R.",JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2021.102866,"Organisms with complex ecologies and life-cycle processes may shift physiologically (acclimation in tolerance), developmentally, and/or behaviorally (thermoregulation) in response to changes in climate. As such, climate change may trigger multiple, interacting phenotypic responses, which underscores the nuances of characterizing a species capacity to adapt and respond to climate change. In this study, we use a model frog species, Bufo gargarizans, to examine how three phenotypes, thermal tolerance limits (critical thermal minimum, CTmin and critical thermal maximum, CTmax), ontogeny, and behavioral preferences in temperature (Tpref) respond to different levels of thermal exposure (i.e., acclimation ranging from 10 degrees C to 30 degrees C). Acclimation temperature had little effect on Tpref of tadpoles, yet behaviorally they showed strong signs of thermal selection towards an optimum. Both CTmin and CTmax increased with acclimation temperature with an approximate 10\% increase in tolerance limits per 1 degrees C increase in exposure. Development and body size both responded to acclimation temperature, both of which also influenced lower but not upper thermal limits. Our study highlights the idiosyncrasies of estimating climate vulnerability, where multiple phenotypes can respond to shifts in temperature-a complexity that is especially apparent in species with complex life-cycles.",2021,97,NA,NA
Biochemical composition and adenylate energy charge shifts in longfin yellowtail <i>(Seriola rivoliana)</i> embryos during development under different temperatures,"Pacheco-Carlon, Nairoby and Salgado-Garcia, Rosa L. and Guerrero-Tortolero, Danitzia A. and Kraffe, Edouard and Campos-Ramos, Rafael and Racotta, Ilie S.",JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2023.103470,"The longfin yellowtail Seriola rivoliana is an emerging species for aquaculture diversification worldwide and production relies on fertilized eggs from captive broodstock. Temperature is the main factor that influences the developmental process and success during fish ontogeny. However, the effects of temperature on the utilization of the main biochemical reserves and bioenergetics are scarcely investigated in fish, whereas protein, lipid and carbohydrate metabolism have critical roles in maintaining cellular energy homeostasis. In this context, we aimed to evaluate metabolic fuels (protein, lipids, triacylglicerides, carbohydrates), adenylic nucleotides and derivates (ATP, ADP, AMP, IMP), and the adenylate energy charge (AEC) during embryogenesis and in hatched larvae in S. rivoliana at different temperatures. For this purpose, fertilized eggs were incubated at six constant (20, 22, 24, 26, 28 and 30 degrees C) and two oscillating (21 reversible arrow 29 degrees C) temperatures. Biochemical analyses were made at blastula, optic vesicles, neurula, prehatch and hatch periods. Results indicated that the developmental period had a major influence on the biochemical composition at any temperature regime tested during the incubation. Protein content decreased only at hatching mainly due to the loss of the chorion, total lipids tended to increase at the neurula period and variations in carbohydrates depended on the particular spawn analyzed. Triacylglicerides were a critical egg fuel during hatching. The high AEC during embryogenesis and even in hatched larvae sug-gested an optimal energy balance regulation. The lack of critical biochemical changes from different temperature regimes during embryo development confirmed that this species exhibits a high adaptive capacity in response to constant and fluctuating temperatures. However, the timing of hatching was the most critical period of devel-opment, where biochemical components and energy utilization significantly changed. The oscillating tempera-tures tested may have physiological advantages without detrimental energetic effects that will require further research on larval quality after hatching.",2023,112,NA,NA
Acute exposure to high temperature affects expression of heat shock proteins in altricial avian embryos,"Galletta, Lorenzo and Craven, Meagan J. and Meillere, Alizee and Crowley, Tamsyn M. and Buchanan, Katherine L. and Mariette, Mylene M.",JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2022.103347,"As the world warms, understanding the fundamental mechanisms available to organisms to protect themselves from thermal stress is becoming ever more important. Heat shock proteins are highly conserved molecular chaperones which serve to maintain cellular processes during stress, including thermal extremes. Developing animals may be particularly vulnerable to elevated temperatures, but the relevance of heat shock proteins for developing altricial birds exposed to a thermal stressor has never been investigated. Here, we sought to test whether three stress-induced genes - HSPD1, HSPA2, HSP90AA1 - and two constitutively expressed genes - HSPA8, HSP90B1 - are upregulated in response to acute thermal shock in zebra finch (Taeniopygia guttata) embryos half-way through incubation. Tested on a gradient from 37.5 degrees C (control) to 45 degrees C, we found that all genes, except HSPD1, were upregulated. However, not all genes initiated upregulation at the same temperature. For all genes, the best fitting model included a correlate of developmental stage that, although it was never significant after multiple-test correction, hints that heat shock protein upregulation might increase through embryonic development. Together, these results show that altricial avian embryos are capable of upregulating a known protective mechanism against thermal stress, and suggest that these highly conserved cellular mecha-nisms may be a vital component of early developmental protection under climate change.",2022,110,NA,NA
Upper thermal tolerance plasticity in tropical amphibian species from contrasting habitats: Implications for warming impact prediction,"Simon, Monique Nouailhetas and Ribeiro, Pedro Leite and Navas, Carlos Arturo",JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2014.12.008,"Tropical ectothermic species are currently depicted as more vulnerable to increasing temperatures because of the proximity between their upper thermal limits and environmental temperatures. Yet, the acclimatory capacity of thermal limits has rarely been measured in tropical species, even though they are generally predicted to be smaller than in temperate species. We compared critical thermal maximum (CTmax) and warming tolerance (WT: the difference between CTmax and maximum temperature, T-max), as well as CTmax acclimatory capacity of toad species from the Atlantic forest (AF) and the Brazilian Caatinga (CAA), a semi-arid habitat with high temperatures. Acclimation temperatures represented the mean temperatures of AF and CAA habitats, making estimates of CTmax and WT more ecologically realistic. CAA species mean CTmax was higher compared to AF species in both acclimation treatments. Clutches within species, as well as between AF and CAA species, differed in CTmax plasticity and we discuss the potential biological meaning of these findings. We did not find a trade-off between absolute CTmax and CTmax plasticity, indicating that species can have both high CTmax and high CTmax a plasticity. Although CTmax was highly correlated to T-max, CTmax plasticity was not related to T-max or T-max coefficients of variation. CAA species mean WT was lower than for AF species, but still very high for all species, diverging from other studies with tropical species. This might be partially related to over-estimation of vulnerability due to under-appreciation of realistic acclimation treatments in CTmax estimation. Thus, some tropical species might not be as vulnerable to warming as previously predicted if CTmax is considered as a shifting population parameter. (C) 2014 Elsevier Ltd. All rights reserved.",2015,48,NA,36-44
NA,NA,NA,High temperature sensitivity of bumblebee castes and the colony-level costs of thermoregulation in Bombus impatiens,NA,NA,NA,NA,NA
"Thermal tolerance of an invasive drywood termite, <i>Cryptotermes brevis</i> (Blattodea: Kalotermitidae)","McDonald, Janet and Fitzgerald, Chris and Hassan, Babar and Morrell, Jeffrey J.",JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2022.103199,"West Indian drywood termites (Cryptotermes brevis, Blattodea: Kalotermitidae) are an important invasive termite in many countries including Australia where they are spreading across two eastern states. Fumigation is often used to eliminate infestations, but it is costly, has negative environmental effects and does not prevent reinfestation. Heat treatment has been suggested as an alternative. Many insect pest mitigation strategies recommend 30 min exposure at 56 degrees C, but this may be difficult to achieve in structural applications. The potential for heating at lower temperatures was explored to determine the effect on termite survival and gut fauna. Exposure to 40 degrees C up to an hour did not kill the termites; however, 1-h exposure at 45 degrees C was lethal. Exposure for little as 3 min at 50 degrees C or 2 min at 55 degrees C was lethal. Protozoa levels were lower in termites that survived shorter exposures, but there appeared to be some recovery over time. The results suggest that short term exposures to 50 or 55 degrees C could be used to eliminate infestations, creating an opportunity for localized spot heating as a mitigation measure.",2022,104,NA,NA
Thermal tolerance of <i>Acartia tonsa:</i> In relation to acclimation temperature and life stage,"Sunar, Murat Can and Kir, Mehmet",JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2021.103116,"The Acartia tonsa, a calanoid copepod species, has high survival and thermal acclimation capacity in aquatic environments characterized by temperature variations. Dynamic and static thermal polygon areas of this species are 495 degrees C2 and 267 degrees C2 for nauplii stage, while adult stage has 747 degrees C2 and 411 degrees C2 dynamic and static thermal polygon area, respectively. In addition, Acartia tonsa is a copepod species which is more resistant to both high and low lethal temperatures, with its resistance zone of 105 degrees C2 and 131 degrees C2 for nauplii and adults, respectively. Acartia tonsa nauplii acclimated to 18 degrees C, 23 degrees C and 28 degrees C have lover and upper thermal limit (CTMin-CTMax) of 6.82-26.15 degrees C, 8.65-29.49 degrees C, and 11.70-34.10 degrees C, respectively. This species in the adult stage has a CTMinCTMax of 4.47-30.30 degrees C, 6.35-33.94 degrees C, and 9.92-35.90 degrees C at acclimation temperatures mentioned above. Its broad dynamic and static thermal tolerance polygon areas and, accordingly, its significant thermal limits allow Acartia tonsa to survive at warm or cold extremes in their natural environment.",2021,102,NA,NA
"Studies on chill coma recovery in the ladybird, <i>Harmonia axyridis</i>: Ontogenetic profile, effect of repeated cold exposures, and capacity to predict winter survival","Knapp, Michal and Vernon, Philippe and Renault, David",JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2018.04.013,"The harlequin ladybird, Harmonia axyridis, is one of the most successful invasive insect species worldwide. We investigated whether (i) chill coma recovery time (CCRt) changes during the ontogenetic development of this species, (ii) CCRt varies in response to repeated cold shocks, and (iii) CCRt could be a good predictor of winter survival ability in adults. CCRt decreased during larval development, the lowest CCRt values were observed in teneral adults (one and four days old), and significantly higher values were observed for older adults (16 and 32 days old). Repeated cold shocks (two hours at -3 degrees C), interrupted by short (30 min) warm periods (22 degrees C) resulted in decreased CCRt after the second cold shock, probably depicting an acclimation response, but then CCRt increased with additional cold shocks, likely revealing the accumulation of chill injuries. The CCRt of pre-overwintering individuals was not correlated with their winter survival. This indicates that CCRt is not a reliable measure of cold tolerance in H. axyridis. However, this result could be partially affected by the experimental setup the use of laboratory-reared individuals who experienced standardized conditions and thus the variability in CCRt of tested animals could be much lower than the variability present in nature. The substantial variation observed over the ontogenetic development of H. axyridis poses important methodological implications for future studies, as animals of the same stage/age should be compared with each other. The observed U-shaped response to repeated cold shocks indicates that the expectation of linearity between cold exposure and insect response is an oversimplification of real situations.",2018,74,NA,275-280
Support for the thermal coadaptation hypothesis from the growth rates of <i>Sceloporus jarrovii</i> lizards,"Patterson, L. D. and Darveau, C. -A. and Blouin-Demers, G.",JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2017.09.007,"The thermal coadaptation hypothesis posits that ectotherms thermoregulate behaviorally to maintain body temperatures (T-b) that maximize performance, such as net energy gain. Huey's (1982) energetics model describes how food availability and T-b interact to affect net energy gain. We tested the thermal coadaptation hypothesis and Huey's energetics model with growth rates of juvenile Yarrow's spiny lizards (Sceloporus jarrovii). We compared the preferred (selected) T-b range (T-sel) of lizards in high and low energy states to their optimal temperature (T-o) for growth over nine weeks, and determined whether the T-o for growth depended on food availability. We also measured the same lizards' resting metabolic rate at five T(b)s to test the energetics model assumptions that metabolic cost increases exponentially with T-b and does not differ between energy states. The T-sel of lizards on both diets overlapped with the T-o for growth. The assumptions of the energetics model were verified, but the T-o for net energy gain did not depend on food availability. Therefore, we found support for the thermal coadaptation hypothesis. We did not find support for the energetics model, but this may have been due to low statistical power.",2017,70,B,86-96
Larval feeding activity and use of embryonic resources determine juvenile performance of the common prawn Palaemon serratus,"Baudet, Jean-Baptiste and Jeanne, Jason and Xuereb, Benoit and Dedourge-Geffard, Odile and Duflot, Aurelie and Poret, Agnes and Tremolet, Gauthier and Le Foll, Frank and Coulaud, Romain",JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2024.103892,"Phenotypic links are the potential for ``carryover{''} of effects of experience during one life history stage into performance and selection at subsequent stages. They reflect plastic responses to the environment experienced during an early phase on the phenotype of subsequent phases. We are studying these effects by following individuals of the shrimp Palaemon serratus from the embryonic (eggs carried by females) through the larval phase (pelagic) to the juvenile phase (benthic). In experiment 1, we investigated the effects of larval prey concentration (10, 4 and 2 Artemia/mL) and larval incubation temperature (16 and 22 degrees C) on larval performance (metamorphosis rate, developmental duration and growth) and then on juvenile performance (survival and Specific Growth Rate, SGR, at 18 and 24 degrees C in 14 days). In experiment 2, we investigated the effects of embryonic incubation temperature (larval biomass and lipid content of newly hatched larvae from embryos incubated at 12 and 18 degrees C) and larval prey concentration on larval performance and then on juvenile performance. In both experiments, the larvae plastically increased their development time in response to the reduction in temperature and prey concentration, whereas their survival decreased with temperature and prey concentration. The quantity of lipids available at hatching decreased with decreasing embryonic incubation temperature, which reduced the larval performance, particularly with a low concentration of prey. Survival at 14 days post-metamorphosis was significantly reduced when the embryos were incubated at 12 degrees C compared with those incubated at 18 degrees C, regardless of the subsequent larval incubation conditions, revealing phenotypic links between overconsumption of embryonic yolk reserves and post-metamorphic fitness. Overall, juveniles had a better SGR at 24 than at 18 degrees C, and even better when incubated under stressful embryo-larval conditions (temperature and prey concentration). This study highlighted phenotypic links between developmental stages and over developmental periods of several months.",2024,123,NA,NA
Effects of the temperature during embryonic development on adult reproduction and the phenotype of the second generation in zebra finches,"Hope, Sydney F. and Angelier, Frederic",JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2024.103787,"Across taxa, the temperature experienced by individuals early in life can have large effects on their development. However, comparatively little is known about whether the effects of this thermal developmental environment can be long-lasting or transgenerational. In birds, one important aspect of the developmental environment is incubation and, in general, eggs incubated at low temperatures produce offspring with smaller morphology, suboptimal physiology, and even lower long-term survival. Yet, little is known about whether incubation temperature may affect avian reproduction in adulthood, and nothing is known about whether the effects of avian incubation temperature may be transgenerational. To investigate this, we incubated zebra finch (Taeniopygia guttata) eggs at two different temperatures: 37.5 degrees C ('control') and 36.3 degrees C ('low'), raised nestlings until adulthood, and allowed same-temperature treatment pairs to reproduce. We found that F-1 individuals incubated at the low temperature had shorter beaks at the start of reproduction than those incubated at the control temperature. Further, compared to those from control parents, F-2 offspring from parents incubated at the low temperature had lighter body masses at 5 days-old and had shorter beaks at 30 days-old. However, we found little evidence that incubation temperature affected other aspects of reproduction, with no effect on latency to lay, clutch size, egg mass, incubation period, hatching success/asynchrony, fledging, or the number of offspring that ultimately survived until independence. Overall, we found some evidence that a difference in the early thermal developmental environment can have lasting morphological effects into the next generation. However, future work is needed to determine whether the incubation temperature that birds experience as embryos may influence parental care behaviors or lifetime reproductive success.",2024,119,NA,NA
"Julian Mensch a, b, {*","Kreiman, Lucas and Putero, Florencia and Hasson, Esteban and Mensch, Julian",JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2023.103504,"Survival and reproduction are the core elements of Darwinian fitness. In the context of a fixed energy budget, organisms tend to allocate resources in order to maximize one at the expense of the other, in what has been called the lifespan-reproduction trade-off. Reproductive arrest and extended lifespan are common responses to low temperatures in many insects including fruit flies. In this study, we aim to understand the overwintering strategy of two closely-related Drosophila species with contrasting distribution ranges. We compared survival, lifespan, ovarian maturation, and reproductive output (fecundity and fertility) of virgin and mated adults of both Drosophila buzzatii and Drosophila koepferae after long-term cold exposure at dormancy-inducing conditions (10 degrees C, 10:14 L:D) and controls (25 degrees C, 12:12 L:D). Virgin flies of D. buzzatii showed the longest lifespan (averaging 102 days) under dormancy-inducing conditions. Cold-induced reproductive arrest preserves reproductive capacity mainly in virgin females that mated after reproductive dormancy, indicating that males were much more susceptible to fertility loss than females, in both species. Notably, females of D. buzzatii were capable of protecting stored sperm from cold damage and produced viable progeny. Even if, in D. buzzatii, fertility of flies mated after the cold-exposure was extremely low, cold temperature likely sterilized D. koepferae males, indicating that cold carry-over effects are stronger for the species with the shorter lifespan. Such species-specific effects of low temperature over fitness likely contributed to the divergence of these closely-related species and to the spread of D. buzzatii into cooler environments.",2023,113,NA,NA
Rearing temperature conditions (constant <i>vs.</i> thermocycle) affect daily rhythms of thermal tolerance and sensing in zebrafish,"de Alba, Gonzalo and Fernando Lopez-Olmeda, Jose and Javier Sanchez-Vazquez, Francisco",JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2021.102880,"In the wild, the environment does not remain constant, but periodically oscillates so that temperature rises in the daytime and drops at night, which generates a daily thermocycle. The effects of thermocycles on thermal tolerance have been previously described in fish. However, the impact of thermocycles on daytime-dependent thermal responses and daily rhythms of temperature tolerance and sensing expression mechanisms remain poorly understood. This study investigates the effects of two rearing conditions: constant (26 degrees C, C) versus a daily thermocycle (28 degrees C in the daytime; 24 degrees C at night, T) on the thermal tolerance response in zebrafish. Thermal tolerance (mortality) was assessed in 4dpf (days post fertilization) zebrafish larvae after acute heat shock (39 degrees C for 1 h) at two time points: middle of the light phase (ML) or middle of the dark phase (MD). Thermal stress responses were evaluated in adult zebrafish after a 37 degrees C challenge for 1 h at ML or MD to examine the expression of the heat-shock protein (HSP) (hsp70, hsp90ab1, grp94, hsp90aa1, hspb1, hsp47, cirbp) and transient receptor potential (TRP) channels (trpv4, trpm4a, trpm2, trpa1b) in the brain. Finally, the daily rhythms of gene expression of HSPs and TRPs were measured every 4 h for 24 h. The results revealed the larval mortality rates and the expression induction of most HSPs in adult zebrafish brain reached the highest values in fish reared under constant temperature and subjected to thermal shock at MD. The expression of most HSPs and TRPs was mainly synchronized to the light/dark (LD) cycle, regardless of the temperature regime. Most HSPs involved in hyperthermic challenges displayed diurnal rhythms with their acrophases in phase with warm-sensing thermoTRPs acrophases. The cold-sensing trpa1b peaked in the second half of the light period and slightly shifted toward the dark phase anticipating the acrophase of cirpb, which is involved in hypothermic challenges. These findings indicated that: a) thermal shocks are best tolerated in the daytime; b) the implementation of daily thermocycles during larval development reduces mortality and stress-cellular expression of HSPs to an acute thermal stress at MD; c) daily rhythms need to be considered when discussing physiological responses of thermal sensing and thermotolerance in zebrafish.",2021,97,NA,NA
Thermal stress causes oxidative stress and physiological changes in female rabbits,"Mutwedu, V. B. and Nyongesa, A. W. and Oduma, J. A. and Kitaa, J. M. and Mbaria, J. M.",JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2020.102780,"The present study investigated the effects of heat stress on oxidative stress status and physiological changes using female New Zealand White rabbits. 24 sexually mature female rabbits weighing 1953.1-2375.4 g were divided into 4 groups of 6 animals each and subjected to ambient temperature (TO: 19-26 degrees C), 27-28 degrees C for Tl, 31-32 degrees C for T2 and 35-36 degrees C for T3 using electrical heaters from 8:00 a.m. to 4:00 p.m. daily for 30 days. Feed intake and body weight gain were recorded daily. Behavioral alterations of anxiety, dizziness, aggression, withdrawal, impaired feed intake were observed. At the end of experimental period animals were sacrificed, blood samples and vital organs such as liver, kidney, heart, ovaries, uterus collected for appropriate analysis. Results revealed that animals of T2 and T3 had an 11\% decrease in the final body weights and 62\% body weight gain but increase in feed conversion ratio by 64.81\%, 24.19\% water intake, 3.64\% in rectal and 2.42\% in skin temperature compared to the control. Dizziness, withdrawal to a corner of the cage and reduced feed intake were observed. The live weight of lungs and kidneys increased by 37.71\% and 33.78\% while that of ovaries and uterus decreased in the same animals of T2 and T3. Animals from T2 and T3 showed significant decrease (p < 0.05) by 23.64\% in hemoglobin concentration, 12.73\% in red blood cells, 11.93\% in packed cell volume, 12.02\% in total protein while mean corpuscular volume, white blood cells, lymphocytes, creatinine, urea and aspartate transaminase increased respectively by 10.73\%, 42.37\%, 15.53\%, 28.98\%, 53.2\% and 23.31\% compared to the control. The kidney level of malondialdehyde was significantly increased in T2 and T3 animals by 74.29\%, whereas protein, catalase, superoxide dismutase and glutathione pemxidase activity were significantly lower (p < 0.05) compared with control. It was concluded that long-term exposure of female rabbits to elevated ambient temperatures induces heat stress and accompanying oxidative stress that consequently impairs physiological function.",2021,95,NA,NA
"Effect of temperature on embryonic development of the marine gastropod <i>Charonia</i> <i>seguenzae</i> (Aradas \& Benoit, 1870)","Doxa, Chrysa K. and Sterioti, Aspasia and Divanach, Pascal and Kentouri, Maroudio",JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2021.103044,"The Mediterranean Triton Charonia seguenzae (Aradas \& Benoit, 1870) is an endangered marine gastropod. Re-establishment of C. seguenzae populations in the depleted habitats requires knowledge of its biology and breeding in captivity. Temperature has been recorded to affect the development in marine gastropods. The present study aims to describe the encapsulated development and study the effect of three temperature regimes, that the embryos are exposed to in the wild (17, 20, 23 degrees C), on it. At the stage of morula (7th Day After Deposition - DAD) 180 egg capsules were separated in three groups of 60 capsules. One group remained at 23 degrees C and the other two were acclimated at 20 and 17 degrees C. Two capsules were sampled randomly from each temperature setup (every day during the first 5 days, D1-D5, every other day from D7 to D17 and every other two days from D20 to eclosion), opened and the eggs, embryos or larvae were photographed under stereoscope. Stages of development and shape were assessed and dimensions were measured from microphotographs. All developmental stages were described in relation to temperature and time. At 23 degrees C eclosion of free swimming veligers occurred 49 DAD, 17 days faster than the embryonic development at 20 degrees C. Eclosion at 17 degrees C was not observed up until the 74th DAD when the last sampling was conducted. An increased amount of larval deformities was observed at 17 degrees C reaching 94\% during the last sampling (D74), while at eclosion only 4 and 3\% of the hatching larvae were deformed at 20 and 23 degrees C respectively. In this study temperature appears as a key factor during the development of the marine gastropod Charonia seguenzae, affecting the survival and developmental rate. Although temperature affected the size of intermediate stages, the size of free swimming veligers at 20 and 23 degrees C did not differ.",2021,100,NA,NA
Thermoneutral temperature reduces liver volume but increases fat content in a mammalian hibernator,"Wang, Xingyi and Watt, Christine F. and Sinclair, Kevin J. and McKenzie, Charles A. and Staples, James F. and MacCannell, Amanda D. V.",JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2019.05.015,"Hibernators survive challenging winters by entering torpor, which lowers body temperature (T-b) to similar to 5 degrees C for 12-14 days, followed by spontaneous arousals where T-b increases to similar to 37 degrees C for 10-12 h before entering another torpor bout. This T-b cycle is accompanied by significant fluctuations in metabolic rate. Little is known about the role of the liver in lipid metabolism during hibernation. In this study we measured the effect of ambient temperature on liver volume and lipid content in 13-lined ground squirrels (Ictidomys tridecemlineatus). We housed animals at thermoneutral (25 degrees C) or cold (5 degrees C) ambient temperatures, with the same photoperiod (12 h light:12 h dark) for an entire year. We determined volume and water-fat ratio of the liver using magnetic resonance imaging (MRI). Ambient temperature significantly affected both liver volume and fat content. From October to August squirrels housed at 25 degrees C had 25\% smaller livers compared to the squirrels housed at 5 degrees C, but their average lipid content (13.3\%) was 37\% higher. Because the squirrels housed at 25 degrees C appeared to continue feeding throughout the winter but did not enter extended torpor, more carbohydrates may have been diverted to lipid stores. By contrast, animals housed at 5 degrees C did not appear to feed, and carbohydrates would likely be preferentially stored in the liver as glycogen to supply glucose for brain metabolism. These results suggest that the fat burden caused by hibernators preparing for winter can lead to symptoms of metabolic syndrome, but that these symptoms are reversible in the spring.",2019,83,NA,172-177
"Long-term and acute effects of temperature and oxygen on metabolism, food intake, growth and heat tolerance in a freshwater gastropod","Hoefnagel, K. Natan and Verberk, Wilco C. E. P.",JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2016.11.017,"Temperature affects the physiology and life-history of ectothermic animals, often increasing metabolic rate and decreasing body size. Oxygen limitation has been put forward as a mechanism to explain thermal responses of body size and the ability to survive stress. However the time-scales involved in growth performance and heat tolerance differ radically. In order to increase our understanding of oxygen and temperature effects on body size and heat tolerance and the time scale involved, we reared Lymnaea stagnalis under six combinations of temperature and oxygen tension from hatching up to an age of 300 days and recorded shell length during this whole period. At the end of this period, we determined scope for growth by measuring food intake rate, assimilation efficiency, respiration rate and ammonium excretion rate at two different temperatures. We also measured the snails' ability to survive heat stress (CTmax), both at normoxia and hypoxia. We found that scope for growth and long term growth performance were much more affected by interactions of chronic oxygen and temperature conditions during rearing than by acute conditions during testing. Furthermore, our study shows that individual variation in growth performance can be traced back to individual differences in rates of food and oxygen consumption. Developmental acclimation also gave rise to differences in CTmax, but these were relatively small and were only expressed when CTmax was tested under hypoxia. The large effects of rearing oxygen conditions on growth and other physiological rates compared to modest effects of test oxygen conditions on CTmax suggest that small effects of hypoxia on the short term (e.g. heat tolerance) may nevertheless have large repercussions on the long term (e.g. growth and reproduction), even in a pulmonate snail that can compensate for hypoxia to some extent by aerial respiration.",2017,68,A,27-38
Is the temperature-size rule mediated by oxygen in aquatic ectotherms?,"Hoefnagel, K. Natan and Verberk, Wilco C. E. P.",JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2014.12.003,"Temperature is an important environmental factor that influences key traits like body size, growth rate and maturity. Ectotherms reared under high temperatures usually show faster growth, but reach a smaller final size, a phenomenon known as the temperature-size rule (TSR). Oxygen may become a limiting resource at high temperatures, when demand for oxygen is high, especially in water as oxygen uptake is far more challenging under water than in air. Therefore, in aquatic ectotherms, the TSR might very well be mediated by temperature effects on oxygen availability and oxygen demand. To distinguish between the direct effects of temperature and oxygen mediated effects, growth rate and final size were measured in the aquatic ectotherm Asellus aquaticus (Linnaeus, 1758) reared under different temperature and oxygen conditions in a factorial design. Growth could be best described by a modified Von Bertalanffy growth function. Both temperature and oxygen affected age at maturity and growth. Growth responses to temperature were dependent on oxygen conditions (interactive effect of temperature and oxygen). Only under hypoxic conditions, when oxygen was mast limiting, did we find a classic TSR. Moreover, when comparing treatments differing in temperature, but where the balance between oxygen demand and supply was similar, high temperature increased both growth rate and final size. Thus effects of oxygen may resolve the life-history puzzle of the TSR in aquatic ectotherms. (C) 2014 Elsevier Ltd. All rights reserved.",2015,54,SI,56-65
"Effect of water temperature, salinity, and their interaction on growth, plasma osmolality, and gill Na<SUP>+</SUP>, K<SUP>+</SUP>-ATPase activity in juvenile GIFT tilapia <i>Oreochromis niloticus</i> (L.)","Qiang, J. and Wang, H. and Kpundeh, M. D. and He, J. and Xu, P.",JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2013.04.002,"We used a central composite rotatable experimental design and response surface methodology to evaluate the effects of temperature (18-37 degrees C), salinity (0-20 parts per thousand), and their interaction on specific growth rate (SGR), feed efficiency (FE), plasma osmolality, and gill Na+, K+-ATPase activity in GIFT tilapia juveniles. The linear and quadratic effects of temperature and salinity on SGR, plasma osmolality, and gill Na+, K+-ATPase activity were statistically significant (P < 0.05). The interactive effects of temperature and salinity on plasma osmolality were significant (P < 0.05). In contrast, the interaction term was not significant for SGR, FE, and gill Na+, K+-ATPase activity (()p > 0.05). The regression equations for SGR, FE, plasma osmolality, and gill Na+, K+-ATPase activity against the two factors of interest had coefficients of determination of 0.944, 0.984, 0.966, and 0.960, respectively (P < 0.01). The optimal temperature/salinity combination was 28.9 degrees C/7.8 parts per thousand at which SGR (2.26\% d(1)) and FE (0.82) were highest. These values correspond to the optimal temperature/salinity combination (29.1 degrees C/7.5 parts per thousand) and the lowest plasma osmolality (348.38 mOsmol kg(-1)) and gill Na+, K+-ATPase activity (1.31 mu mol Pi. h(-1) g(-1) protein), and resulted in an energy-saving effect on osmoregulation, which promoted growth. Crown Copyright (C) 2013 Published by Elsevier Ltd. All rights reserved.",2013,38,6,331-338
Invasive frogs show persistent physiological differences to elevation and acclimate to colder temperatures,"Marchetti, Jack R. and Beard, Karen H. and Virgin, Emily E. and Lewis, Erin L. and Hess, Steven C. and Ki, Kwanho C. and Sermersheim, Layne O. and Furtado, Adriana P. and French, Susannah S.",JOURNAL OF THERMAL BIOLOGY,10.1016/j.jtherbio.2023.103590,"The coqui frog (Eleutherodactylus coqui) was introduced to the island of Hawai'i in the 1980s and has spread across much of the island. Concern remains that this frog will continue to expand its range and invade higher elevation habitats where much of the island's endemic species are found. We determined whether coqui thermal tolerance and physiology change along Hawai'i's elevational gradients. We measured physiological responses using a short-term experiment to determine baseline tolerance and physiology by elevation, and a long-term experiment to determine the coqui's ability to acclimate to different temperatures. We collected frogs from low, medium, and high elevations. After both the short and long-term experiments, we measured critical thermal minimum (CTmin), blood glucose, oxidative stress, and corticosterone levels. CTmin was lower in high elevation frogs than low elevation frogs after the short acclimation experiment, signifying that they acclimate to local conditions. After the extended acclimation, CTmin was lower in frogs acclimated to cold temperatures compared to warm-acclimated frogs and no longer varied by elevation. Blood glucose levels were positively correlated with elevation even after the extended acclimation, suggesting glucose may also be related to lower temperatures. Oxidative stress was higher in females than males, and corticosterone was not significantly related to any pre-dictor variables. The extended acclimation experiment showed that coquis can adjust their thermal tolerance to different temperatures over a 3-week period, suggesting the expansion of coqui into higher elevation habitats may still be possible, and they may not be as restricted by cold temperatures as previously thought.",2023,114,NA,NA
